"Header","2016","2017","2018","2019","2020","2021"
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",546,577,457.271,510.431,507.662,576.683
"Autres, France",5.2,4.9,5.4,7.3,6.6,3.5
"Carburant",0.7,0.3,0.2,0.5,0.3,0.1
"Centrales d'achats, grossistes, France",54.3,52.4,53.6,51.2,55.3,62.4
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",107785,108289,104552.741,106571.258,99116.227,109942.126
"De 120 m² à 400 m²",19.1,19.2,21.4,21.6,20.5,23.1
"De 400 m² à 2500 m²",5.1,5.3,6,6.1,6.1,5.2
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",414431,409500,369456.3,378919.2,349843.1,383794.9
"Ensemble  ",100,100,100,100,100,100
"Etranger",3.9,3.1,4.3,4.8,3.1,3.4
"Fabrication",0.5,1.1,0.7,0.9,1,1.1
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",859,883,825.274,765.845,709.169,712.89
"Grossistes, centrales d'achats, producteurs, étranger",20.4,21.3,19.7,19.1,18.5,19.5
"Marge commerciale (en millions d'euros)",41631,41450,40527.192,40908.02,35918.382,40789.259
"Nombre de magasins",156942,148304,128879,128244,134010,143030
"Nombre total d'entreprises",142627,138413,133698,134127,131219,131987
"Part du chiffre d'affaires provenant des ventes par Internet",0.9,0.9,1.2,1.5,2.3,2.7
"Producteurs, filiales de commercialisation, France",20.1,21.4,21.3,22.5,19.7,14.6
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",388,407,463.051,390.236,358.889,513.791
"Services",3.2,3.7,2.5,2.6,4.9,5.1
"Surface totale de vente (en m²)",23258857,22957077,21614967,20946517,22887807,25206138
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",198.5,345.8,221.4,224.8,219.7,357.3
"Taux d'Investissement : Investissements / Valeur Ajoutée ",9.9,9.2,8.8,9.2,8.6,7.9
"Taux de marge commerciale",40.2,40.2,40.1,39.9,38.7,39.7
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",26.4,26.2,25.1,26.9,25.8,34.4
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",8.6,8.4,8.9,9.9,8.7,14.4
"Total de ces dépenses",2713,2749,2397.011,2370.909,1575.719,1803.364
"Total de ces produits",38.5,38.1,45.4,39.3,44.1,46.7
"Vente au détail, hors carburant",90.4,90.7,93.1,91.4,90.1,90.4
"Vente aux particuliers",84.7,86.3,76.4,77.7,84.4,94.4
"Vente en gros",5.1,4.3,3.5,4.5,3.7,3.2
