"Libellé";"Indice des loyers commerciaux (ILC) - Base 100 au 1er trimestre 2008";"Codes";""
"idBank";"001532540";"";""
"Dernière mise à jour";"21/12/2023 11:53";"";""
"Période";"";"";"Date de parution au JO"
"2005-T1";"92.15";"A";"20/11/2014"
"2005-T2";"92.46";"A";"20/11/2014"
"2005-T3";"92.86";"A";"20/11/2014"
"2005-T4";"93.46";"A";"20/11/2014"
"2006-T1";"94.21";"A";"20/11/2014"
"2006-T2";"95.0";"A";"20/11/2014"
"2006-T3";"95.8";"A";"20/11/2014"
"2006-T4";"96.4";"A";"20/11/2014"
"2007-T1";"96.81";"A";"20/11/2014"
"2007-T2";"97.45";"A";"20/11/2014"
"2007-T3";"98.07";"A";"20/11/2014"
"2007-T4";"98.9";"A";"20/11/2014"
"2008-T1";"100.0";"A";"13/11/2008"
"2008-T2";"101.2";"A";"13/11/2008"
"2008-T3";"102.46";"A";"15/01/2009"
"2008-T4";"103.01";"A";"25/04/2009"
"2009-T1";"102.73";"A";"19/07/2009"
"2009-T2";"102.05";"A";"15/10/2009"
"2009-T3";"101.21";"A";"13/01/2010"
"2009-T4";"101.07";"A";"11/04/2010"
"2010-T1";"101.36";"A";"20/07/2010"
"2010-T2";"101.83";"A";"10/10/2010"
"2010-T3";"102.36";"A";"09/01/2011"
"2010-T4";"102.92";"A";"10/04/2011"
"2011-T1";"103.64";"A";"19/07/2011"
"2011-T2";"104.44";"A";"09/10/2011"
"2011-T3";"105.31";"A";"08/01/2012"
"2011-T4";"106.28";"A";"08/04/2012"
"2012-T1";"107.01";"A";"04/08/2012"
"2012-T2";"107.65";"A";"07/10/2012"
"2012-T3";"108.17";"A";"06/01/2013"
"2012-T4";"108.34";"A";"10/04/2013"
"2013-T1";"108.53";"A";"11/07/2013"
"2013-T2";"108.5";"A";"08/10/2013"
"2013-T3";"108.47";"A";"10/01/2014"
"2013-T4";"108.46";"A";"06/04/2014"
"2014-T1";"108.5";"A";"20/06/2014"
"2014-T2";"108.5";"A";"19/09/2014"
"2014-T3";"108.52";"A";"20/12/2014"
"2014-T4";"108.47";"A";"15/03/2015"
"2015-T1";"108.32";"A";"20/06/2015"
"2015-T2";"108.38";"A";"20/09/2015"
"2015-T3";"108.38";"A";"23/12/2015"
"2015-T4";"108.41";"A";"24/03/2016"
"2016-T1";"108.4";"A";"22/06/2016"
"2016-T2";"108.4";"A";"21/09/2016"
"2016-T3";"108.56";"A";"21/12/2016"
"2016-T4";"108.91";"A";"22/03/2017"
"2017-T1";"109.46";"A";"21/06/2017"
"2017-T2";"110.0";"A";"20/09/2017"
"2017-T3";"110.78";"A";"20/12/2017"
"2017-T4";"111.33";"A";"22/03/2018"
"2018-T1";"111.87";"A";"27/06/2018"
"2018-T2";"112.59";"A";"20/09/2018"
"2018-T3";"113.45";"A";"20/12/2018"
"2018-T4";"114.06";"A";"23/03/2019"
"2019-T1";"114.64";"A";"22/06/2019"
"2019-T2";"115.21";"A";"21/09/2019"
"2019-T3";"115.6";"A";"21/12/2019"
"2019-T4";"116.16";"A";"21/03/2020"
"2020-T1";"116.23";"A";"01/07/2020"
"2020-T2";"115.42";"A";"26/09/2020"
"2020-T3";"115.7";"A";"23/12/2020"
"2020-T4";"115.79";"A";"21/03/2021"
"2021-T1";"116.73";"A";"25/06/2021"
"2021-T2";"118.41";"A";"26/09/2021"
"2021-T3";"119.7";"A";"23/12/2021"
"2021-T4";"118.59";"A";"25/03/2022"
"2022-T1";"120.61";"A";"23/06/2022"
"2022-T2";"123.65";"A";"24/09/2022"
"2022-T3";"126.13";"A";"18/12/2022"
"2022-T4";"126.05";"A";"25/03/2023"
"2023-T1";"128.68";"A";"25/06/2023"
"2023-T2";"131.81";"A";"30/09/2023"
"2023-T3";"133.66";"A";"22/12/2023"
"2023-T4";"";"";""
